,L/S IV_spread
2025-04-07,0.006889202162324083
2025-04-08,-0.012385672055436272
2025-04-09,0.06156832800683282
2025-04-10,-0.03992155452150693
2025-04-11,0.005065719425059758
2025-04-14,-0.01044640703066397
2025-04-15,0.0032293464738455168
2025-04-16,-0.007361534133219796
2025-04-17,-0.0007501515629345376
2025-04-21,-0.008142888309167005
2025-04-22,0.006938293790473206
2025-04-23,0.015128632579371408
2025-04-24,0.022463014732956584
2025-04-25,0.010522787521276401
2025-04-28,-0.00034330288175567496
2025-04-29,-0.004023324529245277
2025-04-30,-0.014334376687663583
2025-05-01,0.019079132636988426
2025-05-02,0.006516983216679203
2025-05-05,-0.009349735529138552
2025-05-06,0.00022769590070882174
2025-05-07,0.0020099594421743696
2025-05-08,0.017551856156142798
2025-05-09,0.009521469491233121
2025-05-12,0.033241817854240394
2025-05-13,0.0353724340988964
2025-05-14,0.007542298686366275
2025-05-15,-0.018756709087990327
2025-05-16,-0.006967837928520935
2025-05-19,-0.008062296912094423
2025-05-20,-0.00468397412800029
2025-05-21,-0.0039958370185967824
2025-05-22,0.007544409993498116
2025-05-23,-0.010934314419433839
2025-05-27,0.009448222895159236
2025-05-28,-0.006367846011491844
2025-05-29,0.0014729028624686105
2025-05-30,-0.010434509117530065
2025-06-02,0.006634666967151662
2025-06-03,0.013146956711181632
2025-06-04,-0.006924217548072244
2025-06-05,-0.006795072614522406
2025-06-06,0.007388990107045536
2025-06-09,0.0066470080914664735
2025-06-10,0.008241471142962635
2025-06-11,0.0031518686476980093
2025-06-12,0.004312956487557476
2025-06-13,0.008149414700338484
2025-06-16,0.008181782169061822
2025-06-17,0.0019127711400186032
2025-06-18,-0.0027271015028318994
2025-06-20,-0.0009617411138222202
2025-06-23,-0.010943779743047078
2025-06-24,0.0006832319212290894
2025-06-25,0.013113626564418725
2025-06-26,0.0029293872525172912
2025-06-27,-0.005426937811577827
2025-06-30,-0.006606492093569314
2025-07-01,-0.0018772049228798497
2025-07-02,0.011493508938773973
2025-07-03,0.002072899335064847
2025-07-07,-0.005486422209196098
2025-07-08,0.01338618641708003
2025-07-09,0.0009181471627213958
2025-07-10,6.900556396731428e-05
2025-07-11,0.0060447773189995415
2025-07-14,-0.007048995595717526
2025-07-15,0.004192364008112917
2025-07-16,-0.006196134842918044
2025-07-17,0.0020055330823361226
2025-07-18,-0.005577229235235989
2025-07-21,-0.003764587604506705
2025-07-22,-0.011016450798292117
2025-07-23,0.01011954225169804
2025-07-24,-0.0033208048267796665
2025-07-25,0.004167224305972381
2025-07-28,0.015624321566991289
2025-07-29,-0.004302533020136403
2025-07-30,-0.002507380566058251
2025-07-31,-0.015830969423599767
2025-08-01,-0.011684072943560525
2025-08-04,0.005055121361718587
2025-08-05,-0.0008378507372281919
2025-08-06,0.006609630399450982
2025-08-07,-0.011067781338582876
2025-08-08,0.010046565865437836
2025-08-11,-0.0014429480292603733
2025-08-12,0.00804753551331371
2025-08-13,0.007955570649806136
2025-08-14,0.008848883114477813
2025-08-15,-0.0013605665778430786
2025-08-18,0.000707289152656327
2025-08-19,-0.01138354377690956
2025-08-20,-0.0072450127020864665
2025-08-21,0.004307193931372577
2025-08-22,0.013968040966018988
2025-08-25,0.009611299813332308
2025-08-26,0.0063537804371735455
2025-08-27,0.00020349704269721595
2025-08-28,0.008724985373224553
2025-08-29,-0.010882174513105376
2025-09-02,-0.0010108014502633314
2025-09-03,0.004734205481776621
2025-09-04,0.009094015426080924
2025-09-05,-0.0007119217099914857
2025-09-08,0.01090021473792321
2025-09-09,-0.0011702669386755532
2025-09-10,0.0003470861315318244
2025-09-11,0.0031218096002534716
2025-09-12,-0.0009333529757712514
2025-09-15,0.006627429303403433
2025-09-16,0.0064409897346045485
2025-09-17,-0.003880589374264356
2025-09-18,0.0066396391238198755
2025-09-19,0.004689012717596413
2025-09-22,0.0027600299673401696
2025-09-23,-0.013537855753972412
2025-09-24,-0.00030255758271283047
2025-09-25,-0.002470781193612016
2025-09-26,0.00027355755040486644
2025-09-29,0.0022668776217443396
2025-09-30,-0.0011306808232505808
2025-10-01,-0.0008646412285716921
2025-10-02,0.002802885121158707
2025-10-03,-0.008848775788202923
2025-10-06,0.008472220673610446
2025-10-07,-0.013014407598002112
2025-10-08,0.009634290796287335
2025-10-09,-0.005508810585432108
2025-10-10,-0.02528580252531219
2025-10-13,0.015528599128614609
2025-10-14,-0.011725161287988393
2025-10-15,-0.007474715481158061
2025-10-16,0.0015210587445568594
2025-10-17,-0.0016654519864541775
2025-10-20,0.007126266845395815
2025-10-21,0.008938190462307982
2025-10-22,-0.009552269279888417
2025-10-23,0.011857705071689565
2025-10-24,-0.0012115529998743793
2025-10-27,0.009501720377239606
2025-10-28,0.016248654623857772
2025-10-29,0.019380724183816405
2025-10-30,-0.010966363976055488
2025-10-31,0.010192745257081113
2025-11-03,0.005415874652641553
2025-11-04,-0.01720360260690163
2025-11-05,0.007525323435195979
2025-11-06,-0.011614475714963483
2025-11-07,-0.0065644777343493044
2025-11-10,0.014640905114307733
2025-11-11,-0.009837415909435107
2025-11-12,-0.0035675856761818252
2025-11-13,-0.006980998144535924
2025-11-14,0.0021842489472884566
2025-11-17,-0.015131280296593193
2025-11-18,-0.015267695648766299
2025-11-19,0.009379892547420743
2025-11-20,-0.019972000446861014
2025-11-21,0.003341639346808858
2025-11-24,0.012720126616567788
2025-11-25,0.00692873952134762
2025-11-26,0.0008087925991925125
2025-11-28,0.003362757751410944
2025-12-01,0.016435798884125816
2025-12-02,0.0042458991554012015
2025-12-03,0.010717945139181844
2025-12-04,0.004332358465181862
2025-12-05,0.006076491233023741
2025-12-08,0.003111411768491246
2025-12-09,0.0038596812936561244
2025-12-10,0.011439313381768415
2025-12-11,-0.008671388605468901
2025-12-12,-0.012190846968327305
2025-12-15,-0.00802502793459766
2025-12-16,0.006119014829618909
2025-12-17,-0.004930149165627575
2025-12-18,0.0059562283324521015
2025-12-19,0.013031318479569398
2025-12-22,0.004676426047020701
2025-12-23,0.0031168564233646943
2025-12-24,-0.005778212548575268
2025-12-26,-0.003010004699448566
2025-12-29,-0.003381510803170165
2025-12-30,-0.0008476404952680413
2025-12-31,-0.000661713796940828
2026-01-02,0.0006439129824266651
2026-01-05,0.019892009402038488
2026-01-06,-0.01145882367677032
2026-01-07,0.011984365797551633
2026-01-08,0.0035241893080169744
2026-01-09,0.001228927541779539
2026-01-12,-0.004460035711833374
2026-01-13,-0.0018515546115252008
2026-01-14,-0.01260786480008701
2026-01-15,-0.0013202605201953622
2026-01-16,-0.000548081302697446
2026-01-20,-0.012007152557830525
2026-01-21,0.009025024510223155
2026-01-22,0.010833373320265662
2026-01-23,0.0014640633493878093
2026-01-26,-0.0013812889237562345
2026-01-27,0.0024066354941353436
2026-01-28,0.010088520401583182
2026-01-29,-0.007305477198656459
2026-01-30,-0.008794313566985975
2026-02-02,0.0035594348475822242
2026-02-03,-0.008411613946738051
2026-02-04,-0.012831699627271098
2026-02-05,-0.015305755028777101
2026-02-06,0.00930556865372689
2026-02-09,0.007149674243682462
2026-02-10,-0.009059619633400549
2026-02-11,0.0006080732333188727
2026-02-12,-0.028136892080707177
2026-02-13,-0.011071336833415723
2026-02-17,-0.0020102730501524086
2026-02-18,0.0189195862703469
2026-02-19,-0.00253708311267984
2026-02-20,0.0006670613655040108
2026-02-23,-0.01801248970571128
2026-02-24,0.0034956781607579568
2026-02-25,0.01691593807474968
2026-02-26,-0.0008171630566329862
2026-02-27,-0.024479274205564738
2026-03-02,0.004617080674021389
2026-03-03,0.0005627822556651917
2026-03-04,0.008843300309670463
2026-03-05,0.012107318749550913
2026-03-06,-0.014182444622209727
2026-03-09,0.00612142490765512
2026-03-10,0.001275289197139084
2026-03-11,0.010880190307626148
2026-03-12,-0.021308106341613158
2026-03-13,-0.011777511116729287
2026-03-16,0.0059794058182157574
2026-03-17,0.006523917438643979
2026-03-18,0.0023330445738255715
2026-03-19,0.001098970826957034
2026-03-20,0.00879020091551443
2026-03-23,0.01140588474662917
2026-03-24,0.0009046197248154262
2026-03-25,0.00506409599286944
2026-03-26,-0.01641400771654054
2026-03-27,-0.019455593821302526
2026-03-30,-0.015910058451774484
2026-03-31,0.02826923841282891
2026-04-01,0.012569877774303542
2026-04-02,-0.01247300743793236
2026-04-06,0.003274016139939806
2026-04-07,0.0022984516774813162
2026-04-08,0.016213538257283527
2026-04-09,0.005468455649881988
2026-04-10,0.010659476625728016
2026-04-13,0.018139267433299203
2026-04-14,0.010370253593532067
2026-04-15,0.014164772726976995
2026-04-16,0.00014706621903759487
2026-04-17,-0.0043430399130514954
2026-04-20,0.0013178743025742028
2026-04-21,0.01717298257227542
2026-04-22,0.008297655113500065
2026-04-23,-0.02381732249618566
2026-04-24,0.017989779298365594
2026-04-27,0.005593163080023366
2026-04-28,-0.009644683198704764
2026-04-29,0.014728017260104035
2026-04-30,-0.009988384429680584
2026-05-01,0.0017583081079731236
2026-05-04,0.006937942971646597
2026-05-05,0.004551465946944479
2026-05-06,0.012387215268601358
2026-05-07,-0.0017012195753217264
2026-05-08,0.010208256468603434
2026-05-11,0.01389658222153903
2026-05-12,-0.01657625557435008
2026-05-13,0.004396211913399181
2026-05-14,0.008782696834593743
2026-05-15,0.005670336415485979
2026-05-18,-0.00821398972207405
2026-05-19,-0.007802458090500882
2026-05-20,0.00649272332904172
2026-05-21,0.0016627843567649525
2026-05-22,0.007535335088872999
2026-05-26,0.0033509055007651645
2026-05-27,-0.005674153115275458
